day,month,year,mangrove,regular,closed,healthy,unhealthy,total
4,1,2021,376.8712,41.214,335.6572,376.8712,0.0,1035.5824
9,1,2021,243.802,82.6244,161.1776,243.802,0.0,961.3792
24,1,2021,292.3284,99.3676,192.9608,292.3284,0.0,1080.4912
8,2,2021,283.7216,198.7284,84.9932,283.7216,0.0,725.0924
23,2,2021,396.392,295.7848,100.6072,396.392,0.0,1086.2292
10,3,2021,158.9412,123.6744,35.2668,158.9412,0.0,593.3828
25,3,2021,390.4964,337.5988,52.8976,390.496,0.0004,1085.8868
9,4,2021,269.624,241.8976,27.7264,269.624,0.0,1086.75
24,4,2021,250.1924,228.212,21.9804,250.1556,0.0368,1006.526
9,5,2021,17.6644,17.6644,0.0,17.6644,0.0,126.27
14,5,2021,353.5356,328.4908,25.0448,353.5356,0.0,1036.7616
24,5,2021,328.1004,260.3808,67.7196,328.0996,0.0008,1086.7316
29,5,2021,330.3304,298.29,32.0404,330.3304,0.0,1086.7476
8,6,2021,355.6744,250.9908,104.6836,355.6696,0.0048,1066.7404
13,6,2021,101.578,70.0496,31.5284,101.5776,0.0004,599.6208
28,6,2021,274.8744,128.0772,146.7972,274.8744,0.0,1026.8748
8,7,2021,116.8444,84.5844,32.26,116.8444,0.0,399.2484
13,7,2021,31.1452,23.7344,7.4108,31.1412,0.004,246.2112
28,7,2021,0.0,0.0,0.0,0.0,0.0,0.0
12,8,2021,13.7112,10.052,3.6592,13.7108,0.0004,59.9172
27,8,2021,74.9868,40.8848,34.102,74.986,0.0008,341.2056
1,9,2021,27.414,17.7732,9.6408,27.41,0.004,156.6008
11,9,2021,118.3232,46.424,71.8992,118.308,0.0152,340.6052
16,9,2021,1.1928,0.3264,0.8664,1.1928,0.0,18.478
26,9,2021,256.6464,39.1852,217.4612,256.6464,0.0,876.77
1,10,2021,0.0,0.0,0.0,0.0,0.0,0.0
11,10,2021,34.6672,10.5048,24.1624,34.6672,0.0,320.7364
16,10,2021,120.064,29.7092,90.3548,120.064,0.0,787.2908
26,10,2021,0.568,0.2556,0.3124,0.568,0.0,12.5696
31,10,2021,360.2136,41.3368,318.8768,360.2136,0.0,956.9004
15,11,2021,221.5428,123.0148,98.528,221.5208,0.0216,897.728
25,11,2021,386.4324,36.1292,350.3032,386.432,0.0004,1022.3244
30,11,2021,96.3292,47.9956,48.3336,96.3292,0.0,378.6108
15,12,2021,0.0,0.0,0.0,0.0,0.0,0.0
20,12,2021,240.9092,135.748,105.1612,240.9092,0.0,1065.8092
30,12,2021,282.658,86.89,195.768,282.6576,0.0004,1074.0568
14,1,2022,90.1764,45.8468,44.3296,90.1192,0.0572,383.496
19,1,2022,264.1032,75.0756,189.0276,264.1028,0.0004,1057.5324
29,1,2022,243.5648,135.4984,108.0664,243.5644,0.0004,967.0496
3,2,2022,216.334,73.9396,142.3944,216.334,0.0,1086.75
13,2,2022,379.624,228.96,150.664,379.624,0.0,1086.7488
28,2,2022,430.4236,271.5232,158.9004,430.4236,0.0,1086.742
5,3,2022,260.4008,248.9528,11.448,260.4008,0.0,1037.0672
15,3,2022,282.9964,255.876,27.1204,282.9952,0.0008,669.9116
30,3,2022,287.9536,286.2044,1.7492,287.9508,0.0028,1007.1504
4,4,2022,384.9908,324.192,60.7988,384.9908,0.0,1086.7468
14,4,2022,368.9652,323.5468,45.4184,368.964,0.0012,1086.5812
4,5,2022,359.4152,290.0532,69.362,359.4144,0.0008,1081.6856
14,5,2022,328.6384,256.3332,72.3052,328.6384,0.0,1086.4376
19,5,2022,332.63,268.926,63.704,332.63,0.0,1025.468
3,6,2022,366.6676,245.84,120.8276,366.6676,0.0,1028.0744
18,6,2022,0.0,0.0,0.0,0.0,0.0,0.0
23,6,2022,0.0,0.0,0.0,0.0,0.0,0.0
3,7,2022,99.4032,59.7808,39.6224,99.3916,0.0116,344.9804
18,7,2022,0.0,0.0,0.0,0.0,0.0,0.0
23,7,2022,0.0,0.0,0.0,0.0,0.0,0.0
2,8,2022,42.6528,10.7524,31.9004,42.6524,0.0004,192.7028
17,8,2022,0.0,0.0,0.0,0.0,0.0,0.0
22,8,2022,92.8708,21.7076,71.1632,92.8708,0.0,435.2588
1,9,2022,0.0,0.0,0.0,0.0,0.0,0.0
6,9,2022,228.0708,66.7072,161.3636,228.0708,0.0,812.1704
16,9,2022,116.8988,23.3216,93.5772,116.8988,0.0,549.4536
21,9,2022,0.0,0.0,0.0,0.0,0.0,0.0152
1,10,2022,4.61,1.5076,3.1024,4.61,0.0,45.6908
6,10,2022,242.4492,43.7508,198.6984,242.4492,0.0,949.1148
16,10,2022,0.0,0.0,0.0,0.0,0.0,0.0
21,10,2022,0.21,0.034,0.176,0.21,0.0,13.3908
5,11,2022,160.3624,22.6312,137.7312,160.3624,0.0,758.2184
20,11,2022,285.1112,38.2744,246.8368,285.1112,0.0,1042.4448
5,12,2022,276.5052,41.7748,234.7304,276.5052,0.0,1038.1676
10,12,2022,244.3568,59.2268,185.13,244.3568,0.0,1086.75
20,12,2022,284.9172,79.292,205.6252,284.9172,0.0,1079.7032
4,1,2023,0.0,0.0,0.0,0.0,0.0,0.0
9,1,2023,29.676,13.664,16.012,29.64,0.036,214.544
19,1,2023,363.9344,98.8104,265.124,363.9344,0.0,1059.9572
24,1,2023,163.144,35.2132,127.9308,163.144,0.0,852.904
3,2,2023,255.2912,113.0136,142.2776,255.2912,0.0,984.0996
8,2,2023,381.6656,246.292,135.3736,381.6656,0.0,1086.7496
18,2,2023,0.1336,0.1336,0.0,0.1336,0.0,27.4748
23,2,2023,345.2908,194.5312,150.7596,345.2908,0.0,1086.7492
5,3,2023,349.9148,193.4336,156.4812,349.912,0.0028,1086.6848
25,3,2023,331.5684,205.1932,126.3752,331.5684,0.0,1084.4252
9,4,2023,330.1132,214.0836,116.0296,330.1132,0.0,1016.9232
24,4,2023,341.6304,218.4944,123.136,341.6304,0.0,1052.104
9,5,2023,0.1968,0.0904,0.1064,0.1968,0.0,0.5376
24,5,2023,345.4644,197.038,148.4264,345.4644,0.0,1026.0316
29,5,2023,143.7672,129.0484,14.7188,143.7644,0.0028,299.6996
8,6,2023,339.6632,141.3564,198.3068,339.6632,0.0,1084.5464
13,6,2023,0.174,0.1736,0.0004,0.174,0.0,20.2408
